id,name,category,address,lat,lng,notes
m4,13th Floor,music,"Red River St, Austin, TX 78701",,,
m5,Cheer Up Charlie's,music,"Red River St, Austin, TX 78701",,,
m6,Valhalla,music,"Red River St, Austin, TX 78701",,,
m7,Empire Control Room,music,"E 7th St, Austin, TX 78701",,,
m8,Stubb's BBQ,music,"801 Red River St, Austin, TX 78701",,,
m9,ACL Live / Moody Theater,music,"310 W Willie Nelson Blvd, Austin, TX 78701",,,
m10,Continental Club,music,"1315 S Congress Ave, Austin, TX 78704",,,S Congress
m11,Radio East,music,"E 6th St, Austin, TX 78702",,,
m12,Hotel Vegas / Volstead Lounge,music,"1502 E 6th St, Austin, TX 78702",,,
m13,White Horse,music,"500 Comal St, Austin, TX 78702",,,
m14,The Ballroom,music,"Red River St, Austin, TX 78701",,,
m15,Radio South,music,"S Congress Ave, Austin, TX 78704",,,
m16,Far Out Lounge,music,"S Congress Ave, Austin, TX 78745",,,
m17,Sagebrush,music,"S Congress Ave, Austin, TX 78704",,,
m18,Little Darlin's,music,"S 1st St, Austin, TX 78745",,,
m19,Moody Center,music,"2001 Robert Dedman Dr, Austin, TX 78712",,,"Major arena, UT area"
m20,Moody Amphitheater,music,"1401 Trinity St, Austin, TX 78701",,,Waterloo Park
fe1,ACL Festival,festival,"Zilker Park, Austin, TX 78704",30.264,-97.775,Annual October music festival
fe2,Levitation,festival,"Red River St, Austin, TX 78701",30.268,-97.737,Psych music festival
fe3,Fantastic Fest,festival,"Alamo Drafthouse S Lamar, Austin, TX 78704",30.249,-97.775,Film festival at Alamo Drafthouse
fe4,Austin Psych Fest,festival,"Red River St, Austin, TX 78701",30.269,-97.737,
fe5,Church of the Friendly Ghost,festival,"E 7th St, Austin, TX 78702",30.270,-97.720,
fe6,Austin Studio Tours,festival,"Congress Ave, Austin, TX 78701",30.267,-97.743,
fe7,Moon Tower Comedy,festival,"310 W Willie Nelson Blvd, Austin, TX 78701",30.261,-97.748,Comedy festival
fe8,Austin Film Festival,festival,"Congress Ave, Austin, TX 78701",30.267,-97.743,
fe9,Putt Putt Grand Open,festival,"E 6th St, Austin, TX 78702",30.265,-97.730,
fe10,Fusebox,festival,"Congress Ave, Austin, TX 78701",30.267,-97.743,Performing arts festival
h1,Austin Bouldering Project,fitness,"E 6th St, Austin, TX 78702",,,
h2,Black Swan Yoga,fitness,"E 6th St, Austin, TX 78702",,,
h3,Float Tanks,fitness,"Austin, TX",30.270,-97.730,
h4,Town Lake Running,fitness,"Lady Bird Lake Trail, Austin, TX 78701",,,
h5,Critical Mass Bike Ride,fitness,"Congress Ave, Austin, TX 78701",30.267,-97.743,Monthly group ride
h6,Yellow Bike Project,fitness,"Red River St, Austin, TX 78701",30.268,-97.735,Self bike repair
h7,India's Warehouse,fitness,"E 6th St, Austin, TX 78702",30.265,-97.720,Aerial / ecstatic dance
h8,People's Pharmacy,fitness,"Airport Blvd, Austin, TX 78751",,,Health talks
a1,Icosa,arts,"E 6th St, Austin, TX 78702",,,Gallery (in Canopy)
a2,Almost Real Things,arts,"E 6th St, Austin, TX 78702",,,Gallery + community org
a3,Canopy,arts,"E 6th St, Austin, TX 78702",,,Arts complex
a4,Museum of Human Achievement,arts,"Austin, TX 78723",,,
a5,Highland Collective,arts,"Airport Blvd, Austin, TX 78723",,,
a6,Bolm Studios,arts,"Bolm Rd, Austin, TX 78702",,,
a7,Dadalab,arts,"E 6th St, Austin, TX 78702",,,Gallery + community org
a8,Art Island,arts,"E 6th St, Austin, TX 78702",,,
a9,McLennon Pen Co. Gallery,arts,"N Loop Blvd, Austin, TX 78751",,,
a10,Laguna Gloria,arts,"3809 W 35th St, Austin, TX 78703",,,Sculpture park on the water
a11,Riches Contemporary,arts,"E 6th St, Austin, TX 78702",,,
a12,The Contemporary,arts,"Congress Ave, Austin, TX 78701",,,
a13,Martha's Contemporary,arts,"Congress Ave, Austin, TX 78701",,,
a14,Hyperreal,arts,"E 6th St, Austin, TX 78702",,,Film club — screens indie films east side
a15,Flavored Channels,arts,"E 6th St, Austin, TX 78702",30.265,-97.722,Community org
a16,Arthub,arts,"E 6th St, Austin, TX 78702",,,Community org
a17,Exploded Drawing,arts,"E 6th St, Austin, TX 78702",30.265,-97.720,Community org
